Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,8.710000,8.710000,8.710000,8.710000,2.016512,0
1995-01-04,8.730000,8.730000,8.730000,8.730000,2.021141,0
1995-01-05,8.710000,8.710000,8.710000,8.710000,2.016512,0
1995-01-06,8.720000,8.720000,8.720000,8.720000,2.018827,0
1995-01-09,8.710000,8.710000,8.710000,8.710000,2.016512,0
1995-01-10,8.730000,8.730000,8.730000,8.730000,2.021141,0
1995-01-11,8.750000,8.750000,8.750000,8.750000,2.025773,0
1995-01-12,8.750000,8.750000,8.750000,8.750000,2.025773,0
1995-01-13,8.810000,8.810000,8.810000,8.810000,2.039664,0
1995-01-16,8.820000,8.820000,8.820000,8.820000,2.041979,0
1995-01-17,8.820000,8.820000,8.820000,8.820000,2.041979,0
1995-01-18,8.820000,8.820000,8.820000,8.820000,2.041979,0
1995-01-19,8.790000,8.790000,8.790000,8.790000,2.035032,0
1995-01-20,8.740000,8.740000,8.740000,8.740000,2.023457,0
1995-01-23,8.730000,8.730000,8.730000,8.730000,2.021141,0
1995-01-24,8.720000,8.720000,8.720000,8.720000,2.018827,0
1995-01-25,8.750000,8.750000,8.750000,8.750000,2.025773,0
1995-01-26,8.760000,8.760000,8.760000,8.760000,2.028087,0
1995-01-27,8.820000,8.820000,8.820000,8.820000,2.041979,0
1995-01-30,8.840000,8.840000,8.840000,8.840000,2.046609,0
1995-01-31,8.790000,8.790000,8.790000,8.790000,2.047775,0
1995-02-01,8.780000,8.780000,8.780000,8.780000,2.045446,0
1995-02-02,8.760000,8.760000,8.760000,8.760000,2.040785,0
1995-02-03,8.850000,8.850000,8.850000,8.850000,2.061752,0
1995-02-06,8.850000,8.850000,8.850000,8.850000,2.061752,0
1995-02-07,8.850000,8.850000,8.850000,8.850000,2.061752,0
1995-02-08,8.850000,8.850000,8.850000,8.850000,2.061752,0
1995-02-09,8.830000,8.830000,8.830000,8.830000,2.057094,0
1995-02-10,8.800000,8.800000,8.800000,8.800000,2.050103,0
1995-02-13,8.800000,8.800000,8.800000,8.800000,2.050103,0
1995-02-14,8.850000,8.850000,8.850000,8.850000,2.061752,0
1995-02-15,8.880000,8.880000,8.880000,8.880000,2.068740,0
1995-02-16,8.910000,8.910000,8.910000,8.910000,2.075731,0
1995-02-17,8.910000,8.910000,8.910000,8.910000,2.075731,0
1995-02-21,8.930000,8.930000,8.930000,8.930000,2.080389,0
1995-02-22,8.980000,8.980000,8.980000,8.980000,2.092038,0
1995-02-23,8.990000,8.990000,8.990000,8.990000,2.094368,0
1995-02-24,9.000000,9.000000,9.000000,9.000000,2.096696,0
1995-02-27,9.040000,9.040000,9.040000,9.040000,2.106016,0
1995-02-28,9.000000,9.000000,9.000000,9.000000,2.109531,0
1995-03-01,9.010000,9.010000,9.010000,9.010000,2.111875,0
1995-03-02,8.980000,8.980000,8.980000,8.980000,2.104844,0
1995-03-03,8.950000,8.950000,8.950000,8.950000,2.097813,0
1995-03-06,8.920000,8.920000,8.920000,8.920000,2.090782,0
1995-03-07,8.920000,8.920000,8.920000,8.920000,2.090782,0
1995-03-08,8.940000,8.940000,8.940000,8.940000,2.095467,0
1995-03-09,8.980000,8.980000,8.980000,8.980000,2.104844,0
1995-03-10,9.020000,9.020000,9.020000,9.020000,2.114219,0
1995-03-13,9.040000,9.040000,9.040000,9.040000,2.118908,0
1995-03-14,9.090000,9.090000,9.090000,9.090000,2.130628,0
1995-03-15,9.100000,9.100000,9.100000,9.100000,2.132971,0
1995-03-16,9.120000,9.120000,9.120000,9.120000,2.137659,0
1995-03-17,9.090000,9.090000,9.090000,9.090000,2.130628,0
1995-03-20,9.100000,9.100000,9.100000,9.100000,2.132971,0
1995-03-21,9.080000,9.080000,9.080000,9.080000,2.128284,0
1995-03-22,9.060000,9.060000,9.060000,9.060000,2.123594,0
1995-03-23,9.060000,9.060000,9.060000,9.060000,2.123594,0
1995-03-24,9.110000,9.110000,9.110000,9.110000,2.135315,0
1995-03-27,9.140000,9.140000,9.140000,9.140000,2.142346,0
1995-03-28,9.100000,9.100000,9.100000,9.100000,2.132971,0
1995-03-29,9.100000,9.100000,9.100000,9.100000,2.132971,0
1995-03-30,9.090000,9.090000,9.090000,9.090000,2.130628,0
1995-03-31,9.010000,9.010000,9.010000,9.010000,2.125907,0
1995-04-03,9.040000,9.040000,9.040000,9.040000,2.132987,0
1995-04-04,9.040000,9.040000,9.040000,9.040000,2.132987,0
1995-04-05,9.050000,9.050000,9.050000,9.050000,2.135347,0
1995-04-06,9.060000,9.060000,9.060000,9.060000,2.137706,0
1995-04-07,9.060000,9.060000,9.060000,9.060000,2.137706,0
1995-04-10,9.060000,9.060000,9.060000,9.060000,2.137706,0
1995-04-11,9.080000,9.080000,9.080000,9.080000,2.142425,0
1995-04-12,9.090000,9.090000,9.090000,9.090000,2.144785,0
1995-04-13,9.120000,9.120000,9.120000,9.120000,2.151862,0
1995-04-17,9.120000,9.120000,9.120000,9.120000,2.151862,0
1995-04-18,9.130000,9.130000,9.130000,9.130000,2.154221,0
1995-04-19,9.120000,9.120000,9.120000,9.120000,2.151862,0
1995-04-20,9.140000,9.140000,9.140000,9.140000,2.156580,0
1995-04-21,9.150000,9.150000,9.150000,9.150000,2.158943,0
1995-04-24,9.160000,9.160000,9.160000,9.160000,2.161301,0
1995-04-25,9.160000,9.160000,9.160000,9.160000,2.161301,0
1995-04-26,9.160000,9.160000,9.160000,9.160000,2.161301,0
1995-04-27,9.150000,9.150000,9.150000,9.150000,2.158943,0
1995-04-28,9.080000,9.080000,9.080000,9.080000,2.156567,0
1995-05-01,9.080000,9.080000,9.080000,9.080000,2.156567,0
1995-05-02,9.090000,9.090000,9.090000,9.090000,2.158943,0
1995-05-03,9.140000,9.140000,9.140000,9.140000,2.170815,0
